AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
43,23,23,21,25,21,25,25,25,25,21,45,25,21,23,25,45,25,45,25,47,23,21,21,25,25,21,43,21,21,45,21,25,23,23,23,45,25,23,21,23,23,23,21,43,21,45,23,23,23,21,23,23,21,21,21,21,25,21,21,45,45,23,21,25,25
60,17,17,38,20,38,20,20,20,20,38,39,20,38,17,20,39,20,39,20,42,17,38,38,20,20,38,60,38,38,39,38,20,17,17,17,39,20,17,38,17,17,17,38,60,38,39,17,17,17,38,17,17,38,38,38,38,20,38,38,39,39,17,38,20,20
57,19,19,38,16,38,16,16,16,16,38,38,16,38,19,16,38,16,38,16,35,19,38,38,16,16,38,57,38,38,38,38,16,19,19,19,38,16,19,38,19,19,19,38,57,38,38,19,19,19,38,19,19,38,38,38,38,16,38,38,38,38,19,38,16,16
42,22,22,21,23,21,23,23,23,23,21,43,23,21,22,23,43,23,43,23,44,22,21,21,23,23,21,42,21,21,43,21,23,22,22,22,43,23,22,21,22,22,22,21,42,21,43,22,22,22,21,22,22,21,21,21,21,23,21,21,43,43,22,21,23,23
52,34,34,40,28,40,28,28,28,28,40,46,28,40,34,28,46,28,46,28,40,34,40,40,28,28,40,52,40,40,46,40,28,34,34,34,46,28,34,40,34,34,34,40,52,40,46,34,34,34,40,34,34,40,40,40,40,28,40,40,46,46,34,40,28,28
49,28,28,31,25,31,25,25,25,25,31,46,25,31,28,25,46,25,46,25,43,28,31,31,25,25,31,49,31,31,46,31,25,28,28,28,46,25,28,31,28,28,28,31,49,31,46,28,28,28,31,28,28,31,31,31,31,25,31,31,46,46,28,31,25,25
52,24,24,37,32,37,32,32,32,32,37,39,32,37,24,32,39,32,39,32,47,24,37,37,32,32,37,52,37,37,39,37,32,24,24,24,39,32,24,37,24,24,24,37,52,37,39,24,24,24,37,24,24,37,37,37,37,32,37,37,39,39,24,37,32,32
50,28,28,27,25,27,25,25,25,25,27,51,25,27,28,25,51,25,51,25,48,28,27,27,25,25,27,50,27,27,51,27,25,28,28,28,51,25,28,27,28,28,28,27,50,27,51,28,28,28,27,28,28,27,27,27,27,25,27,27,51,51,28,27,25,25
47,26,26,33,19,33,19,19,19,19,33,40,19,33,26,19,40,19,40,19,33,26,33,33,19,19,33,47,33,33,40,33,19,26,26,26,40,19,26,33,26,26,26,33,47,33,40,26,26,26,33,26,26,33,33,33,33,19,33,33,40,40,26,33,19,19
32,25,25,18,17,18,17,17,17,17,18,39,17,18,25,17,39,17,39,17,31,25,18,18,17,17,18,32,18,18,39,18,17,25,25,25,39,17,25,18,25,25,25,18,32,18,39,25,25,25,18,25,25,18,18,18,18,17,18,18,39,39,25,18,17,17
33,49,49,7,15,7,15,15,15,15,7,75,15,7,49,15,75,15,75,15,41,49,7,7,15,15,7,33,7,7,75,7,15,49,49,49,75,15,49,7,49,49,49,7,33,7,75,49,49,49,7,49,49,7,7,7,7,15,7,7,75,75,49,7,15,15
32,19,19,20,3,20,3,3,3,3,20,31,3,20,19,3,31,3,31,3,15,19,20,20,3,3,20,32,20,20,31,20,3,19,19,19,31,3,19,20,19,19,19,20,32,20,31,19,19,19,20,19,19,20,20,20,20,3,20,20,31,31,19,20,3,3
