AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
9,16,0,0,0,28,16,16,7,4,0,5,2,47,26,9,1,0,6,5,0,132,13,0,3,29,7,1,3,5,1,4,5,83,0,0,0,1,24,0,2,0,67,29,1,0,0,10,45,0,5,2,0,0,0,0,0,1,0,0,37,60,0,0,2,2
3,1,0,0,1,24,0,11,6,0,0,0,1,366,2,31,1,5,103,3,0,5,3,0,20,5,15,0,11,2,0,0,1,59,0,0,0,1,23,6,0,0,56,33,0,0,17,3,110,0,60,0,0,1,0,0,0,0,37,0,31,12,0,0,0,1
4,1,3,36,0,17,1,4,6,0,0,0,1,200,12,31,1,0,3,0,1,1,34,0,23,17,2,0,19,1,3,0,0,29,0,0,0,0,10,4,2,0,178,0,0,1,0,0,58,1,32,4,0,5,0,0,0,0,6,0,38,97,0,0,21,0
20,2,4,36,0,0,2,1,7,0,0,0,0,74,11,40,4,0,5,0,1,0,8,0,17,6,0,0,8,2,6,0,5,0,0,0,0,0,2,0,1,0,90,6,0,0,3,10,92,5,18,3,0,2,0,0,1,1,4,0,42,18,0,0,5,0
1,15,0,0,0,35,8,1,11,10,0,3,15,49,17,7,5,0,10,1,3,114,15,0,4,30,56,0,20,6,0,0,0,86,0,0,0,1,25,34,1,0,41,16,0,0,0,4,35,2,19,1,0,3,1,0,0,11,5,0,435,219,4,0,1,6
1,0,0,0,0,5,2,2,14,5,0,0,12,176,1,3,4,0,112,0,0,18,0,0,1,19,26,0,2,5,6,0,2,224,0,0,0,5,49,8,1,0,95,9,0,3,7,0,76,3,56,0,0,3,0,0,1,3,3,0,479,148,2,0,1,6
3,4,0,10,0,58,8,1,9,1,0,14,7,134,21,8,5,0,47,5,0,251,3,0,9,13,267,0,11,3,0,0,2,515,0,0,0,3,27,10,0,0,57,53,4,0,0,0,45,0,12,1,0,2,0,0,0,8,7,0,154,152,2,0,3,9
1,0,0,0,0,7,1,4,19,2,0,0,5,106,5,24,0,1,615,1,0,14,4,0,8,7,7,0,4,3,2,5,0,368,0,0,0,4,152,2,0,0,345,15,1,0,13,1,113,0,7,3,0,1,4,0,0,2,5,0,353,52,2,0,0,7
11,2,7,16,0,5,0,9,3,0,0,0,3,84,0,34,8,0,2,4,0,1,14,0,12,11,29,0,9,0,13,6,1,0,0,0,0,0,25,20,4,0,253,28,1,0,0,0,79,15,18,5,0,3,0,0,0,0,4,0,427,417,1,0,25,2
2,0,1,0,0,0,0,4,6,0,0,0,9,84,3,35,1,0,0,1,0,0,0,0,21,5,0,0,13,0,3,0,1,0,0,0,0,0,2,0,2,0,82,3,0,1,22,1,108,20,18,2,0,1,0,0,0,0,5,0,270,60,0,0,0,2
12,0,3,0,1,0,0,0,0,0,0,145,1,72,1,144,0,0,3,0,0,0,0,0,12,0,1,0,4,0,6,0,3,0,0,0,54,0,0,0,5,0,28,0,2,0,49,0,107,139,3,0,0,0,0,0,0,1,0,0,570,1042,1,0,15,0
4,0,3,0,0,0,0,0,0,0,0,57,0,47,1,51,1,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,4,3,0,41,2,1,0,8,0,29,60,9,6,0,2,0,0,0,0,1,0,324,4148,0,0,4,0
8,0,3,0,0,0,0,0,1,1,0,83,1,63,0,62,1,0,0,0,1,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,13,0,0,1,2,0,18,0,1,0,9,0,45,59,7,2,0,0,0,0,0,1,2,0,256,3124,0,0,0,1
3,0,13,0,0,0,0,0,0,2,0,54,0,6,17,46,1,0,0,0,0,0,1,0,1,0,24,0,6,0,0,0,0,0,0,0,4,0,0,3,1,0,27,0,2,0,10,0,37,66,2,7,0,0,0,0,0,0,0,0,524,6153,1,0,9,0
3,0,2,0,0,0,0,0,0,4,0,45,0,66,12,55,1,0,0,0,0,0,3,0,5,0,4,0,13,0,0,0,0,0,0,0,53,0,0,1,0,0,20,0,0,0,16,1,21,123,3,8,0,0,0,0,0,0,1,0,448,3704,1,0,4,0
2,26,0,7,0,80,7,1,20,16,2,2,3,149,18,5,2,1,148,0,0,93,26,0,7,38,8,36,12,2,0,0,2,546,0,0,0,0,34,0,8,0,37,131,6,0,0,0,35,0,3,8,6,6,0,0,0,1,6,0,184,446,5,0,0,0
2,0,0,67,0,10,3,0,19,3,0,0,0,183,2,11,2,5,96,0,0,27,14,0,5,26,9,8,5,3,3,1,3,403,0,0,0,0,19,5,1,0,14,96,1,0,3,1,101,1,12,8,5,5,0,0,0,2,5,0,460,132,1,0,5,0
4,37,0,7,1,78,11,1,9,24,0,0,0,73,17,12,1,4,22,2,0,94,23,0,4,24,10,14,8,3,0,39,4,274,0,0,0,1,16,8,5,0,28,36,0,0,0,5,47,1,22,2,0,5,1,0,0,1,7,0,271,329,0,0,0,0
